model,map_model_name
HBD-DR64V CLIPPER NV100,NV100
ZAA-AZEO,LEAF
CLIPPER RIO WAGON,CLIPPER
ABA-DR64W CLIPPER,CLIPPER
MARCH UA-AK12,MARCH
LEAF TEKNA,LEAF
NAVARA D/C AVENTURA,NAVARA
KG-SK22MN,VANETTE
SUNNY-QF-FB15,SUNNY
SUNNY HB12,SUNNY
KR-VWE25 CARAVAN,CARAVAN
E-R11,PRESEA
E-WHNB12 SUNNY,SUNNY
ZAA-ZEO,LEAF
EBD-DR17V/CLIPPER,CLIPPER
VANETTE LARGO,VANETTE
UA-FB15 SUNNY,SUNNY
UB-VFY11,AD WAGON
LEAF,LEAF
VANETTE MAINTANANCE,VANETTE
KG-CWGE25 CARAVAN,CARAVAN
DAYS,DAYZ
GBD-U71V CLIPPER,CLIPPER
CB12-SUNNY,SUNNY
QASHQAI TEKNA DIG-T CVT,QASHQAI
ABF-SK82VN,VANETTE
KR-SKF2MN,VANETTE
EBD-DR17V,CLIPPER
SUNNY WSBIHUG,SUNNY
PULSAR-HN 12,PULSAR
CEFIRO AUTO,CEFIRO
QASHQAI TEKNA,QASHQAI
VENETTE,VANETTE
TA-K11,MARCH
DAYZ,DAYZ
HBD-DR64V CLIPPER,CLIPPER
LDF-CW4E26 CARAVAN,CARAVAN
DBA-B21W DAYZ,DAYZ
EBD-DR16T NT100 CLIPPER DX,CLIPPER
HA31 CEFIRO,CEFIRO
HBD-DR17V CLIPPER NV100,NV100
VYGE24-CLOSED,CARAVAN
KG-VWE25 CARAVAN,CARAVAN
TA-NT30,X-TRAIL
FN14-PULSER,PULSAR
LDF-VW2E26 CARAVAN,CARAVAN
TC-SK82VN,VANETTE
KG-CWGE25,CARAVAN
YU12 BLUEBIRD,BLUEBIRD
VANETTE-KJ-SK22VN,VANETTE
PRIMERA CAMINO,PRIMERA
UA-QP12,PRIMERA
E-FB13,SUNNY
S-VVJC23,SERENA
HBD-DR17V CLIPPER,CLIPPER
DBA-B21A DAYS ROOX,DAYZ
KRSKF2VN VANETTE,VANETTE
PULSER-N14,PULSAR
ADF-SKF2MN-VANETTE,VANETTE
ABF-SK82VN VANETTE,VANETTE
ADF-SKF2VN-VANETTE,VANETTE
CEFIRO 230SM,CEFIRO
PREMERA,PRIMERA
LDF-VW6E26 CARAVAN,CARAVAN
TA-TP12-PRIMERA,PRIMERA
LC-VPE25 CARAVAN,CARAVAN
KG-VWMG24,CARAVAN
VUJC22 VANETTE,VANETTE
EU13,BLUEBIRD
X-SB13 SUNNY,SUNNY
TA-QGE25R,CARAVAN
BCAU13-BLUEBRID,BLUEBIRD
SUNNY-HB11,SUNNY
CARAVAN KG-VWE24,CARAVAN
NAVARA PICKUP,NAVARA
