brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
TOYOTA,15 OCT,VITZ,2010,AUTOMATIC,PETROL,1000,5825000
TOYOTA,15 OCT,ALLION,2011,AUTOMATIC,PETROL,1500,10500000
TOYOTA,15 OCT,AXIO,2017,AUTOMATIC,PETROL,1350,12500000
TOYOTA,17 OCT,PREMIO,2016,AUTOMATIC,PETROL,1500,16650000
TOYOTA,15 OCT,BELTA,2009,AUTOMATIC,PETROL,1300,7500000
TOYOTA,16 OCT,VITZ,2018,AUTOMATIC,PETROL,1500,9800000
TOYOTA,19 OCT,VIOS,2003,AUTOMATIC,PETROL,1500,4850000
TOYOTA,15 OCT,LAND CRUISER PRADO,2010,AUTOMATIC,PETROL,3000,33000000
TOYOTA,15 OCT,RAV4,1995,AUTOMATIC,PETROL,2000,3485000
TOYOTA,19 OCT,VITZ,2007,AUTOMATIC,PETROL,1000,5150000
TOYOTA,15 OCT,LAND CRUISER SAHARA,2011,AUTOMATIC,PETROL,4600,55000000
TOYOTA,15 OCT,COROLLA,2006,AUTOMATIC,PETROL,1500,6500000
TOYOTA,15 OCT,AXIO,2008,AUTOMATIC,PETROL,1500,7375000
TOYOTA,15 OCT,HARRIER,1999,AUTOMATIC,PETROL,2980,4975000
TOYOTA,15 OCT,AXIO,2016,AUTOMATIC,PETROL,1500,13300000
TOYOTA,16 OCT,VITZ,2014,AUTOMATIC,PETROL,1300,6950000
TOYOTA,14 OCT,PASSO,2016,AUTOMATIC,PETROL,1000,7100000
TOYOTA,21 OCT,HARRIER,2017,AUTOMATIC,PETROL,1998,29000000
TOYOTA,14 OCT,AXIO,2015,AUTOMATIC,PETROL,1500,11000000
TOYOTA,14 OCT,AXIO,2015,AUTOMATIC,PETROL,1500,11650000
TOYOTA,14 OCT,RAIZE,2020,AUTOMATIC,PETROL,990,15290000
TOYOTA,14 OCT,AXIO,2014,AUTOMATIC,PETROL,1500,9275000
TOYOTA,08 OCT,COROLLA,2008,AUTOMATIC,PETROL,1600,6500000
TOYOTA,15 OCT,VITZ,2008,AUTOMATIC,PETROL,1000,5800000
TOYOTA,14 OCT,PRIUS,2012,AUTOMATIC,PETROL,1500,10500000
TOYOTA,14 OCT,VITZ,2016,AUTOMATIC,PETROL,1000,8050000
TOYOTA,14 OCT,CHR,2018,AUTOMATIC,PETROL,1200,16750000
TOYOTA,14 OCT,LAND CRUISER PRADO,2017,AUTOMATIC,PETROL,2700,65000000
TOYOTA,14 OCT,WISH,2013,AUTOMATIC,PETROL,1800,11500000
TOYOTA,14 OCT,PASSO,2017,AUTOMATIC,PETROL,1000,8100000
TOYOTA,21 OCT,PREMIO,2007,AUTOMATIC,PETROL,1500,7680000
TOYOTA,13 OCT,COROLLA,2000,AUTOMATIC,PETROL,1600,5200000
TOYOTA,13 OCT,PASSO,2007,AUTOMATIC,PETROL,1000,4975000
TOYOTA,13 OCT,ALLION,2003,AUTOMATIC,PETROL,1500,6690000
TOYOTA,13 OCT,VITZ,2008,AUTOMATIC,PETROL,1000,5800000
TOYOTA,19 OCT,COROLLA,2008,AUTOMATIC,PETROL,1600,6830000
TOYOTA,13 OCT,RUSH,2018,AUTOMATIC,PETROL,1500,17450000
TOYOTA,16 OCT,VITZ,2010,AUTOMATIC,PETROL,1300,6650000
TOYOTA,14 OCT,IST,2003,AUTOMATIC,PETROL,1290,5100000
TOYOTA,13 OCT,TANK,2018,AUTOMATIC,PETROL,1000,9750000
TOYOTA,13 OCT,CHR,2017,AUTOMATIC,PETROL,1190,15350000
TOYOTA,17 OCT,VITZ,2012,AUTOMATIC,PETROL,1000,6575000
TOYOTA,12 OCT,LAND CRUISER PRADO,2017,AUTOMATIC,PETROL,2690,65500000
TOYOTA,12 OCT,LAND CRUISER SAHARA,2011,AUTOMATIC,PETROL,4600,49500000
TOYOTA,18 OCT,ALLION,2013,AUTOMATIC,PETROL,1500,12500000
TOYOTA,12 OCT,AXIO,2013,AUTOMATIC,PETROL,1500,9575000
TOYOTA,12 OCT,COROLLA,2005,AUTOMATIC,PETROL,1300,5745000
TOYOTA,12 OCT,CAMRY,2008,AUTOMATIC,PETROL,2400,8475000
TOYOTA,12 OCT,CHR,2018,AUTOMATIC,PETROL,1190,15290000
TOYOTA,21 OCT,VANGUARD,2013,AUTOMATIC,PETROL,2400,15400000
TOYOTA,18 OCT,AQUA,2015,AUTOMATIC,PETROL,1450,8800000
TOYOTA,12 OCT,VITZ,2019,AUTOMATIC,PETROL,1000,9975000
TOYOTA,12 OCT,PRIUS,2010,AUTOMATIC,PETROL,1500,8350000
TOYOTA,12 OCT,CROWN,2004,AUTOMATIC,PETROL,2000,7600000
