brand,posted_date,model,year_of_manufacture,transmission,fuel_type,engine_capacity,vehicle_price
TOYOTA,21 SEP,AQUA,2013,AUTOMATIC,PETROL,1500,7000000
TOYOTA,21 SEP,PREMIO,2006,AUTOMATIC,PETROL,1500,7500000
TOYOTA,21 SEP,STARLET,1992,AUTOMATIC,PETROL,1330,2575000
TOYOTA,21 SEP,PASSO,2006,AUTOMATIC,PETROL,1000,4490000
TOYOTA,20 SEP,AXIO,2011,AUTOMATIC,PETROL,1500,9200000
TOYOTA,20 SEP,ALLION,2008,AUTOMATIC,PETROL,1500,9490000
TOYOTA,20 SEP,CHR,2018,AUTOMATIC,PETROL,1200,17690000
TOYOTA,20 SEP,TANK,2016,AUTOMATIC,PETROL,1000,9750000
TOYOTA,20 SEP,VITZ,2015,AUTOMATIC,PETROL,990,7775000
TOYOTA,20 SEP,HARRIER,1999,AUTOMATIC,PETROL,2980,4975000
TOYOTA,20 SEP,VITZ,2016,AUTOMATIC,PETROL,1000,7650000
TOYOTA,20 SEP,ROOMY,2018,AUTOMATIC,PETROL,1000,9475000
TOYOTA,20 SEP,VITZ,2010,AUTOMATIC,PETROL,1000,5790000
TOYOTA,20 SEP,LAND CRUISER PRADO,2017,AUTOMATIC,PETROL,2700,59250000
TOYOTA,20 SEP,BELTA,2009,AUTOMATIC,PETROL,1300,7500000
TOYOTA,24 SEP,YARIS,2019,AUTOMATIC,PETROL,1200,13900000
TOYOTA,19 SEP,VOXY,2014,AUTOMATIC,PETROL,2000,16550000
TOYOTA,19 SEP,PREMIO,2019,AUTOMATIC,PETROL,1500,21400000
TOYOTA,19 SEP,ALLION,2010,AUTOMATIC,PETROL,1500,10650000
TOYOTA,19 SEP,ALLION,2010,AUTOMATIC,PETROL,1500,10700000
TOYOTA,23 SEP,VITZ,2018,AUTOMATIC,PETROL,990,8950000
TOYOTA,19 SEP,CHR,2019,AUTOMATIC,PETROL,1200,18500000
TOYOTA,19 SEP,CHR,2017,AUTOMATIC,PETROL,1200,14350000
TOYOTA,19 SEP,ALLION,2004,AUTOMATIC,PETROL,1500,6650000
TOYOTA,19 SEP,RAIZE,2020,AUTOMATIC,PETROL,990,14990000
TOYOTA,19 SEP,CHR,2017,AUTOMATIC,PETROL,1200,14890000
TOYOTA,19 SEP,VITZ,2011,AUTOMATIC,PETROL,1320,6990000
TOYOTA,19 SEP,VITZ,2010,AUTOMATIC,PETROL,1300,6250000
TOYOTA,24 SEP,YARIS,2011,AUTOMATIC,PETROL,1300,7550000
TOYOTA,19 SEP,COROLLA,2008,AUTOMATIC,PETROL,1500,6600000
TOYOTA,19 SEP,AXIO,2007,AUTOMATIC,PETROL,1490,7790000
TOYOTA,23 SEP,AXIO,2007,AUTOMATIC,PETROL,1500,7290000
TOYOTA,19 SEP,VITZ,2007,AUTOMATIC,PETROL,1300,5300000
TOYOTA,19 SEP,PREMIO,2010,AUTOMATIC,PETROL,1500,10750000
TOYOTA,19 SEP,TANK,2018,AUTOMATIC,PETROL,1000,9400000
TOYOTA,19 SEP,VITZ,2019,AUTOMATIC,PETROL,1000,9400000
TOYOTA,19 SEP,LAND CRUISER PRADO,2010,AUTOMATIC,PETROL,2690,34900000
TOYOTA,18 SEP,CHR,2017,AUTOMATIC,PETROL,1200,14950000
TOYOTA,18 SEP,HARRIER,2015,AUTOMATIC,PETROL,2000,26500000
TOYOTA,19 SEP,PREMIO,2018,AUTOMATIC,PETROL,1500,20500000
TOYOTA,18 SEP,AXIO,2016,AUTOMATIC,PETROL,1320,11625000
TOYOTA,18 SEP,VITZ,2019,AUTOMATIC,PETROL,1000,10300000
TOYOTA,18 SEP,VITZ,2002,AUTOMATIC,PETROL,1000,3830000
TOYOTA,19 SEP,VITZ,2018,AUTOMATIC,PETROL,1000,9375000
TOYOTA,18 SEP,YARIS,2008,AUTOMATIC,PETROL,1300,6400000
TOYOTA,18 SEP,AXIO,2015,AUTOMATIC,PETROL,1500,11750000
TOYOTA,21 SEP,VITZ,2008,AUTOMATIC,PETROL,990,5690000
TOYOTA,18 SEP,PREMIO,2012,AUTOMATIC,PETROL,1500,12200000
TOYOTA,18 SEP,VANGUARD,2008,AUTOMATIC,PETROL,2400,9990000
TOYOTA,18 SEP,VITZ,2016,AUTOMATIC,PETROL,1000,7990000
TOYOTA,18 SEP,LAND CRUISER PRADO,2011,AUTOMATIC,PETROL,2700,29000000
TOYOTA,18 SEP,VIOS,2003,AUTOMATIC,PETROL,1500,4595000
TOYOTA,19 SEP,PREMIO,2017,AUTOMATIC,PETROL,1500,17750000
TOYOTA,18 SEP,HARRIER,2016,AUTOMATIC,PETROL,2000,27500000
TOYOTA,17 SEP,VITZ,2007,AUTOMATIC,PETROL,1000,5275000
TOYOTA,17 SEP,CARINA,2001,AUTOMATIC,PETROL,1490,6000000
TOYOTA,17 SEP,PASSO,2010,AUTOMATIC,PETROL,1000,5095000
TOYOTA,18 SEP,VITZ,2016,AUTOMATIC,PETROL,990,7900000
TOYOTA,17 SEP,CHR,2019,AUTOMATIC,PETROL,1290,17275000
TOYOTA,17 SEP,CAMRY,2008,AUTOMATIC,PETROL,2400,8500000
TOYOTA,17 SEP,CARINA,2008,AUTOMATIC,PETROL,1500,4750000
TOYOTA,17 SEP,VITZ,2008,AUTOMATIC,PETROL,1000,5650000
TOYOTA,23 SEP,PASSO,2016,AUTOMATIC,PETROL,1000,7490000
TOYOTA,16 SEP,LAND CRUISER SAHARA,2004,AUTOMATIC,PETROL,4660,22290000
TOYOTA,23 SEP,ALLION,2017,AUTOMATIC,PETROL,1490,16790000
TOYOTA,16 SEP,COROLLA,2000,AUTOMATIC,PETROL,1500,5300000
TOYOTA,16 SEP,VITZ,2017,AUTOMATIC,PETROL,1000,9200000
TOYOTA,16 SEP,VITZ,2009,AUTOMATIC,PETROL,1000,5775000
TOYOTA,16 SEP,RUSH,2006,AUTOMATIC,PETROL,1500,7190000
TOYOTA,16 SEP,IST,2004,AUTOMATIC,PETROL,1290,4950000
TOYOTA,15 SEP,AXIO,2012,AUTOMATIC,PETROL,1500,9800000
TOYOTA,15 SEP,PREMIO,2014,AUTOMATIC,PETROL,1500,13650000
TOYOTA,15 SEP,VITZ,2018,AUTOMATIC,PETROL,1000,9100000
TOYOTA,18 SEP,CHR,2018,AUTOMATIC,PETROL,1190,16550000
TOYOTA,17 SEP,AQUA,2014,AUTOMATIC,PETROL,1500,8600000
TOYOTA,19 SEP,VITZ,2007,AUTOMATIC,PETROL,1000,55950000
TOYOTA,15 SEP,COROLLA,2003,AUTOMATIC,PETROL,1497,5900000
TOYOTA,15 SEP,HARRIER,2016,AUTOMATIC,PETROL,2000,26800000
TOYOTA,14 SEP,VITZ,2000,AUTOMATIC,PETROL,1000,3490000
TOYOTA,20 SEP,VITZ,2017,AUTOMATIC,PETROL,1000,8650000
TOYOTA,20 SEP,YARIS,2006,AUTOMATIC,PETROL,1300,5995000
TOYOTA,16 SEP,AXIO,2008,AUTOMATIC,PETROL,1500,7150000
TOYOTA,14 SEP,AXIO,2016,AUTOMATIC,PETROL,1500,13275000
TOYOTA,14 SEP,PRIUS,2011,AUTOMATIC,PETROL,1800,8975000
TOYOTA,23 SEP,VITZ,2006,AUTOMATIC,PETROL,1300,5590000
TOYOTA,14 SEP,VITZ,2015,AUTOMATIC,PETROL,990,7800000
TOYOTA,14 SEP,BELTA,2009,AUTOMATIC,PETROL,1300,7650000
TOYOTA,20 SEP,ALLION,2009,AUTOMATIC,PETROL,1500,1
TOYOTA,21 SEP,OTHER MODEL,2000,AUTOMATIC,PETROL,2160,5850000
TOYOTA,24 SEP,CAMI,1999,AUTOMATIC,PETROL,1300,3950000
TOYOTA,14 SEP,ALLION,2007,AUTOMATIC,PETROL,1500,8850000
TOYOTA,24 SEP,AXIO,2007,AUTOMATIC,PETROL,1500,7390000
TOYOTA,14 SEP,VOXY,2014,AUTOMATIC,PETROL,2000,18250000
TOYOTA,16 SEP,LAND CRUISER PRADO,2007,AUTOMATIC,PETROL,2700,18600000
TOYOTA,23 SEP,VITZ,2011,AUTOMATIC,PETROL,1000,6450000
TOYOTA,17 SEP,AXIO,2015,AUTOMATIC,PETROL,1490,11500000
TOYOTA,13 SEP,PASSO,2016,AUTOMATIC,PETROL,1000,7850000
TOYOTA,13 SEP,AQUA,2012,AUTOMATIC,PETROL,1500,7250000
