post_link,posted_title,posted_date,brand,model,grade,trim_edition,year_of_manufacture,condition,transmission,body_type,fuel_type,engine_capacity,mileage,vehicle_price
https://ikman.lk/en/ad/toyota-axio-g-grade-2015-for-sale-gampaha-1016,Toyota Axio G GRADE 2015,"Posted on 21 Sep 2:58 pm, Negombo, Gampaha456views",Toyota,Axio,0,G GRADE ,2015,Used,Automatic,0,Hybrid,"1,500 cc","110,000 km","Rs 11,790,000"
https://ikman.lk/en/ad/toyota-axio-g-grade-2015-for-sale-gampaha-1015,Toyota Axio G GRADE 2015,"Posted on 21 Sep 2:47 pm, Negombo, Gampaha308views",Toyota,Axio,0,G GRADE ,2015,Used,Automatic,0,Hybrid,"1,500 cc","97,000 km","Rs 11,790,000"
https://ikman.lk/en/ad/toyota-aqua-x-urban-2015-for-sale-gampaha-619,Toyota Aqua X URBAN 2015,"Posted on 21 Sep 2:44 pm, Negombo, Gampaha590views",Toyota,Aqua,0,X URBAN ,2015,Used,Automatic,0,Hybrid,"1,500 cc","80,000 km","Rs 9,590,000"
https://ikman.lk/en/ad/toyota-axio-wxb-2016-for-sale-galle-21,Toyota Axio WXB 2016,"Posted on 21 Sep 3:03 pm, Baddegama, Galle807views",Toyota,Axio,0,WXB,2016,Used,Automatic,Saloon,Hybrid,"1,500 cc","85,000 km","Rs 13,200,000"
https://ikman.lk/en/ad/toyota-prius-s-touring-2013-for-sale-kandy-1,Toyota Prius S Touring 2013,"Posted on 23 Sep 12:18 am, Nawalapitiya, Kandy815views",Toyota,Prius,0,S Touring,2013,Used,Automatic,0,Hybrid,"1,800 cc","132,000 km","Rs 10,870,000"
https://ikman.lk/en/ad/toyota-axio-g-grade-2014-for-sale-colombo-739,Toyota Axio G grade 2014,"Posted on 21 Sep 2:03 pm, Homagama, Colombo691views",Toyota,Axio,0,G grade,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc","125,000 km","Rs 9,850,000"
https://ikman.lk/en/ad/toyota-prius-s-led-2012-for-sale-matara-2,Toyota Prius S LED 2012,"Posted on 23 Sep 11:53 am, Matara City, Matara576views",Toyota,Prius,0,S LED ,2012,Used,Automatic,Saloon,Hybrid,"1,800 cc","156,000 km","Rs 9,100,000"
https://ikman.lk/en/ad/toyota-prius-s-led-2012-for-sale-matara-3,Toyota Prius S L.E.D 2012,"Posted on 23 Sep 7:14 pm, Matara City, Matara2025views",Toyota,Prius,0,S L.E.D,2012,Used,Automatic,SUV / 4x4,Hybrid,"1,500 cc","146,000 km","Rs 9,750,000"
https://ikman.lk/en/ad/toyota-aqua-2013-for-sale-gampaha-2273,Toyota Aqua 2013,"Posted on 20 Sep 5:05 pm, Negombo, Gampaha395views",Toyota,Aqua,0,0,2013,Used,Automatic,0,Hybrid,"1,500 cc","130,000 km","Rs 8,190,000"
https://ikman.lk/en/ad/toyota-aqua-2014-for-sale-colombo-3235,Toyota Aqua 2014,"Posted on 20 Sep 4:38 pm, Boralesgamuwa, Colombo451views",Toyota,Aqua,0,0,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","129,000 km","Rs 7,600,000"
https://ikman.lk/en/ad/toyota-aqua-urban-2015-for-sale-gampaha-81,Toyota Aqua URBAN 2015,"Posted on 20 Sep 4:33 pm, Negombo, Gampaha657views",Toyota,Aqua,0,URBAN ,2015,Used,Automatic,0,Hybrid,"1,500 cc","130,000 km","Rs 8,890,000"
https://ikman.lk/en/ad/toyota-prius-s-my-cordy-2013-for-sale-gampaha-12,Toyota Prius S MY CORDY 2013,"Posted on 20 Sep 2:21 pm, Negombo, Gampaha448views",Toyota,Prius,0,S MY CORDY ,2013,Used,Automatic,0,Hybrid,"1,800 cc","108,000 km","Rs 10,390,000"
https://ikman.lk/en/ad/toyota-aqua-2013-for-sale-colombo-5937,Toyota Aqua 2013,"Posted on 20 Sep 12:28 pm, Malabe, Colombo433views",Toyota,Aqua,0,0,2013,Used,Automatic,Hatchback,Hybrid,"1,490 cc","78,079 km","Rs 7,125,000"
https://ikman.lk/en/ad/toyota-axio-2015-for-sale-gampaha-650,Toyota Axio 2015,"Posted on 20 Sep 10:54 am, Delgoda, Gampaha900views",Toyota,Axio,0,2015,2015,Used,Automatic,Saloon,Hybrid,"1,500 cc","158,000 km","Rs 9,750,000"
https://ikman.lk/en/ad/toyota-aqua-g-perl-white-2015-for-sale-gampaha,Toyota Aqua 2015,"Posted on 20 Sep 10:42 am, Nittambuwa, Gampaha672views",Toyota,Aqua,0,Toyota Aqua 2015,2015,Used,Automatic,Hatchback,Hybrid,"1,496 cc","158,000 km","Rs 8,750,000"
https://ikman.lk/en/ad/toyota-aqua-g-grade-2013-for-sale-colombo-1397,Toyota Aqua G Grade 2013,"Posted on 20 Sep 7:47 am, Kaduwela, Colombo325views",Toyota,Aqua,0,G Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","152,000 km","Rs 7,990,000"
https://ikman.lk/en/ad/toyota-voxy-noah-fully-loaded-2014-for-sale-colombo,Toyota Voxy Noah Fully Loaded 2014,"Posted on 23 Sep 12:43 pm, Dehiwala, Colombo503views",Toyota,Voxy,0,Noah Fully Loaded,2014,Used,Automatic,0,Hybrid,"1,800 cc","126,800 km","Rs 18,450,000"
https://ikman.lk/en/ad/toyota-aqua-s-grade-2014-for-sale-colombo-916,Toyota Aqua S Grade 2014,"Posted on 19 Sep 3:47 pm, Nugegoda, Colombo476views",Toyota,Aqua,0,Aqua S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","95,800 km","Rs 8,990,000"
https://ikman.lk/en/ad/toyota-axio-g-grade-8air-bag-2014-for-sale-colombo-3,Toyota Axio G GRADE 8AIR BAG 2014,"Posted on 19 Sep 12:10 pm, Boralesgamuwa, Colombo526views",Toyota,Axio,0,G GRADE  8AIR BAG,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","126,000 km","Rs 10,490,000"
https://ikman.lk/en/ad/toyota-aqua-g-sport-2014-for-sale-ratnapura,Toyota Aqua G SPORT 2014,"Posted on 19 Sep 11:47 am, Embilipitiya, Ratnapura647views",Toyota,Aqua,0,G SPORT,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","132,000 km","Rs 8,800,000"
https://ikman.lk/en/ad/toyota-axio-wxb-2016-for-sale-colombo-701,Toyota Axio WXB 2016,"Posted on 19 Sep 11:23 am, Battaramulla, Colombo1798views",Toyota,Axio,0,WXB,2016,Used,Automatic,Saloon,Hybrid,"1,490 cc","177,505 km","Rs 12,500,000"
https://ikman.lk/en/ad/toyota-sai-4th-gen-facelift-2014-for-sale-colombo-19,Toyota SAI 4th GEN FACELIFT 2014,"Posted on 19 Sep 10:46 am, Boralesgamuwa, Colombo467views",Toyota,SAI,0,4th GEN FACELIFT,2014,Used,Automatic,Saloon,Hybrid,"2,330 cc","72,255 km","Rs 16,990,000"
https://ikman.lk/en/ad/toyota-axio-g-grade-2017-for-sale-colombo-9,Toyota Axio G Grade 2017,"Posted on 19 Sep 10:29 am, Boralesgamuwa, Colombo255views",Toyota,Axio,0,G Grade,2017,Used,Automatic,Saloon,Hybrid,"1,490 cc","125,200 km","Rs 12,990,000"
https://ikman.lk/en/ad/toyota-aqua-g-sport-2014-for-sale-kalutara,Toyota Aqua G SPORT 2014,"Posted on 19 Sep 7:16 am, Alutgama, Kalutara989views",Toyota,Aqua,0,G SPORT ,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","140,000 km","Rs 8,890,000"
https://ikman.lk/en/ad/toyota-aqua-x-urban-2016-for-sale-colombo-47,Toyota Aqua X Urban 2016,"Posted on 18 Sep 3:49 pm, Colombo 8, Colombo738views",Toyota,Aqua,0,X Urban ,2016,Used,Automatic,Hatchback,Hybrid,"1,500 cc","140,000 km","Rs 9,250,000"
https://ikman.lk/en/ad/toyota-passo-moda-2016-for-sale-colombo-67,Toyota Passo MODA 2016,"Posted on 18 Sep 3:41 pm, Colombo 8, Colombo508views",Toyota,Passo,0,MODA,2016,Used,Automatic,Hatchback,Hybrid,"1,000 cc","95,000 km","Rs 7,800,000"
https://ikman.lk/en/ad/toyota-axio-2017-for-sale-gampaha-168,Toyota Axio 2017,"Posted on 18 Sep 11:25 am, Negombo, Gampaha278views",Toyota,Axio,0,2017,2017,Used,Automatic,Saloon,Hybrid,"1,500 cc","97,744 km","Rs 13,600,000"
https://ikman.lk/en/ad/toyota-aqua-2018-for-sale-gampaha,Toyota Aqua 2018,"Posted on 17 Sep 9:28 pm, Kelaniya, Gampaha1596views",Toyota,Aqua,0,Toyota Aqua 2018,2018,Used,Automatic,Hatchback,Hybrid,"1,500 cc","90,000 km","Rs 12,800,000"
https://ikman.lk/en/ad/toyota-prius-s-grade-2013-for-sale-matale-1,Toyota Prius S Grade 2013,"Posted on 23 Sep 9:08 am, Dambulla, Matale1123views",Toyota,Prius,0,S Grade,2013,Used,Automatic,0,Hybrid,"1,800 cc","160,000 km","Rs 10,500,000"
https://ikman.lk/en/ad/toyota-aqua-gs-sport-2015-for-sale-colombo-34,Toyota Aqua GS Sport 2015,"Posted on 17 Sep 12:14 pm, Nugegoda, Colombo1375views",Toyota,Aqua,0,GS Sport,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","103,000 km","Rs 9,350,000"
https://ikman.lk/en/ad/toyota-prius-2011-for-sale-kandy-100,Toyota Prius 2011,"Posted on 17 Sep 8:34 am, Kandy City, Kandy1083views",Toyota,Prius,0,Toyota,2011,Used,Automatic,Saloon,Hybrid,"1,800 cc","124,000 km","Rs 8,900,000"
https://ikman.lk/en/ad/toyota-prius-s-touring-2011-for-sale-kandy-1,Toyota Prius s-touring 2011,"Posted on 17 Sep 8:32 am, Kandy City, Kandy982views",Toyota,Prius,0,s-touring,2011,Used,Automatic,Saloon,Hybrid,"1,800 cc","129,000 km","Rs 9,200,000"
https://ikman.lk/en/ad/toyota-prius-2012-for-sale-kandy-192,Toyota Prius 2012,"Posted on 21 Sep 10:06 am, Kandy City, Kandy826views",Toyota,Prius,0,Toyota,2012,Used,Automatic,Saloon,Hybrid,"1,800 cc","131,000 km","Rs 9,600,000"
https://ikman.lk/en/ad/toyota-aqua-x-urban-2015-for-sale-gampaha-618,Toyota Aqua X URBAN 2015,"Posted on 16 Sep 2:04 pm, Negombo, Gampaha844views",Toyota,Aqua,0,X URBAN ,2015,Used,Automatic,0,Hybrid,"1,500 cc","89,000 km","Rs 9,590,000"
https://ikman.lk/en/ad/toyota-aqua-g-grade-2013-for-sale-colombo-1396,Toyota Aqua G Grade 2013,"Posted on 19 Sep 12:28 pm, Kohuwala, Colombo580views",Toyota,Aqua,0,G Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","144,000 km","Rs 7,490,000"
https://ikman.lk/en/ad/toyota-prius-led-model-2012-for-sale-matara,Toyota Prius LED Model 2012,"Posted on 15 Sep 10:54 am, Matara City, Matara2561views",Toyota,Prius,0,LED Model ,2012,Used,Automatic,Saloon,Hybrid,"1,800 cc","160,000 km","Rs 9,150,000"
https://ikman.lk/en/ad/toyota-aqua-g-grade-2013-for-sale-gampaha-719,Toyota Aqua G GRADE 2013,"Posted on 15 Sep 7:36 am, Gampaha City, Gampaha627views",Toyota,Aqua,0,G GRADE,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","117,542 km","Rs 7,750,000"
https://ikman.lk/en/ad/toyota-axio-g-grade-2011-for-sale-gampaha,Toyota Axio G GRADE 2011,"Posted on 14 Sep 5:24 pm, Negombo, Gampaha850views",Toyota,Axio,0,G GRADE ,2011,Used,Automatic,0,Hybrid,"1,500 cc","135,000 km","Rs 9,890,000"
https://ikman.lk/en/ad/toyota-prius-s-grade-2014-for-sale-matale,Toyota Prius S Grade 2014,"Posted on 14 Sep 5:11 pm, Dambulla, Matale728views",Toyota,Prius,0,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,800 cc","103,297 km","Rs 10,650,000"
https://ikman.lk/en/ad/toyota-aqua-s-grade-15000km-2014-for-sale-kalutara,Toyota Aqua S grade 15000KM 2014,"Posted on 14 Sep 10:01 am, Panadura, Kalutara1098views",Toyota,Aqua,0,S grade 15000KM,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","15,000 km","Rs 9,500,000"
https://ikman.lk/en/ad/toyota-aqua-soft-leather-limited-2013-for-sale-gampaha,Toyota Aqua Soft Leather 2013,"Posted on 14 Sep 9:16 am, Nittambuwa, Gampaha429views",Toyota,Aqua,0,Soft Leather,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","160,000 km","Rs 8,195,000"
https://ikman.lk/en/ad/toyota-aqua-s-grade-2014-for-sale-ratnapura-4,Toyota Aqua S Grade 2014,"Posted on 14 Sep 8:23 am, Ratnapura City, Ratnapura405views",Toyota,Aqua,0,S Grade ,2014,Used,Automatic,Saloon,Hybrid,"1,500 cc","123,000 km","Rs 8,150,000"
https://ikman.lk/en/ad/toyota-prius-3rd-gen-2014-for-sale-kalutara-1,Toyota Prius 2014,"Posted on 13 Sep 6:04 pm, Panadura, Kalutara853views",Toyota,Prius,0,Toyota,2014,Used,Automatic,Saloon,Hybrid,"1,800 cc","170,000 km","Rs 10,495,000"
https://ikman.lk/en/ad/toyota-axio-wxb-2016-for-sale-colombo-700,Toyota Axio WXB 2016,"Posted on 13 Sep 4:30 pm, Colombo 9, Colombo702views",Toyota,Axio,0,WXB,2016,Used,Automatic,Saloon,Hybrid,"1,496 cc","105,563 km","Rs 13,500,000"
https://ikman.lk/en/ad/toyota-prius-s-grade-2014-for-sale-gampaha-71,Toyota Prius S Grade 2014,"Posted on 24 Sep 1:21 pm, Gampaha City, Gampaha1650views",Toyota,Prius,0,S Grade,2014,Used,Automatic,Saloon,Hybrid,"1,800 cc","146,000 km","Rs 10,490,000"
https://ikman.lk/en/ad/toyota-aqua-s-grade-2013-for-sale-colombo-1242,Toyota Aqua S Grade 2013,"Posted on 15 Sep 7:48 am, Malabe, Colombo888views",Toyota,Aqua,0,S Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","99,000 km","Rs 7,750,000"
https://ikman.lk/en/ad/toyota-axio-g-grade-full-option-2015-for-sale-colombo-1,Toyota Axio G GRADE FULL OPTION 2015,"Posted on 12 Sep 6:52 pm, Boralesgamuwa, Colombo770views",Toyota,Axio,0,G GRADE FULL OPTION,2015,Used,Automatic,Hatchback,Hybrid,"1,490 cc","153,000 km","Rs 12,090,000"
