model,map_model_name
DAA-MH44S-WAGON-R-FX LIMITED-HYBRID,WAGON R FX
SPACIA CUSTOM,SPACIA
HBD-DR17V,EVERY
GD-HA12V,ALTO
DAA-MR41S HUSTLER,HUSTLER
TE-DA62V-EVERY,EVERY
SWIFT DZIRE,SWIFT
GF-DA52W,EVERY
EBD-DA17V,EVERY
GBD-DA17V,EVERY
DAA-MK42S SPACIA,SPACIA
UA-MC22S,WAGON R
GBD-DA64V,EVERY
TA-JB43W,JIMNY
CRESENT CULTUS,CULTUS
SOLIO,WAGON R
LA-HA23S,ALTO
DAA MK42S SPACIA- G LIMITED,SPACIA
DAA-ZC53S SWIFT RS HYBRID,SWIFT
HBD-HA36V ALTO VP,ALTO
HBD-EVERY JOIN,EVERY
WAGON R PREMIUM HYBRID,WAGON R
DBA-ZC13S SWIFT RS,SWIFT
CBA-WB42S (BALENO),BELENO
ALTO ECO,ALTO
ABA-DA17W,EVERY
ABA-HE21S,ALTO
DBA-ZC13S,SWIFT
DBA-ZC53S SWIFT,SWIFT
ABA-JB23W,JIMNY
HA36S,ALTO
LIANA 1.3MT,LIANA
STINGRAY X,WAGON R
DAA-MK42S SPACIA X,SPACIA
MH55S,WAGON R
SWIFT HYBRID,SWIFT
DAA-ZC53C,SWIFT
DBA-ZC72S,SWIFT
EVERY (GD-DB52V),EVERY
ALTO,ALTO
WAGON R FX,WAGON R FX
ABA-DA17W (EVERY WAGON),EVERY
DBA-MH34S,WAGON R
SPACIA DAA-MK53S,SPACIA
DBA-MH35S,WAGON R
DAA-MR41S,WAGON R
MH44S,WAGON R
STINGRAY,WAGON R
DBA-HA36S-ALTO,ALTO
DA17V,EVERY
SPACIA CUSTOM Z,SPACIA
SUZUKI FZ,WAGON R FZ
CBA-WB42S,BELENO
SPACIA COSTOM Z DAA-MK42S,SPACIA
SPACIA,SPACIA
WAGON R PREMIUM,WAGON R
EVERY DA 17V,EVERY
DAA-MA36S SOLIO,WAGON R
WAGAN,WAGON R
DBA-H36S,ALTO
MK42S,SPACIA
DAA-MH55S WAGON R STINGRAY,WAGON R STINGRAY
WAGON R 650CC,WAGON R
WAGON R STINGRAY X,WAGON R STINGRAY
WAGON R FZ SAFETY,WAGON R FZ SAFETY
DAA-MH55S WAGON R FZ SAFETY PACKAGE,WAGON R FZ SAFETY
HBD-DA17V EVERY,EVERY
DAA-MH55S WAGON R FZ,WAGON R FZ
DAA-MH55S WAGON R FX,WAGON R FX
DAA-MK53S,SPACIA
HUSTLER HYBRID,HUSTLER
CELERIO X ZXI AMT (O),CELERIO
WAGON R HYBRID FZ,WAGON R FZ
DBA-ZC13S SWIFT,SWIFT
SPACIA XS TURBO,SPACIA
WAGON R-VXI,WAGON R
WAGON R HYBRID DAA-MH55S,WAGON R
WAGON R FZ MH55S,WAGON R FZ
HBD-HA36V ALTO,ALTO
DAA-MH55S STINGRAY,WAGON R
DAA-MK55S WAGON R,WAGON R
WAGON R STINGRAY HYBRID X,WAGON R STINGRAY
SWIFT ZC13S RS TURBO,SWIFT
DAA-MH55S WAGON R HYBRID FX,WAGON R FX
CELRIO X ZXI (O) AGS,CELERIO
DBA-HE22S,ALTO
EVERY WAGON,EVERY
WAGON R FX SAFETY,WAGON R FX SAFETY
ABA-HA23S ALTO,ALTO
HUSTLER J-STYLE (DAA-MR41S),HUSTLER
ALTO LXI 800,ALTO LXI
HBD-HA36V,ALTO
HBD-DA17V EVERY PC GRADE,EVERY
ALTO 800 VXI,ALTO
CELERIO X ZXI (O),CELERIO
DAA-MH55S WAGON R HYBRID FZ,WAGON R FZ
ABA-DA17W (EVERY),EVERY
DBA-HA24S,ALTO
DAA-MK53S SPACIA CUSTOM,SPACIA
SA 310 GL,SPACIA
DAA MK42S CUSTOM GS,SPACIA
GDDA52V,EVERY
EBD-DA64,EVERY
ALTO L,ALTO
HBD- EVERY,EVERY
EBD-DA17W,EVERY
HBD-KDA64V EVERY,EVERY
EBD-DA17V / EVERY,EVERY
WAGON R-TURBO,WAGON R
GA-DA52V,EVERY
DAA-MH44S WAGON R FZ,WAGON R FZ
WAGON R STTINGRAY T,WAGON R
PC MODEL EVERY VAN,EVERY
WAGON R HYBRID DAA . MH44S,WAGON R
DBA-MH34S WAGON R,WAGON R
DAA-MH44S J STYLE,WAGON R
DAA-MH44S WAGON R FX LIMITED,WAGON R FX
DAA-MK42S (SPACIA CUSTOM),SPACIA
DA64V,EVERY
DAA-MH55S WAGON R,WAGON R
ALTO RS,ALTO
DAA - ZC53S SWIFT,SWIFT
MH55S WAGON - R,WAGON R
FX,WAGON R FX SAFETY
MK53S SPACIA HYBRID,SPACIA
DAA-MH55S WAGON R FXD,WAGON R FX
DBA-ZC71S SWIFT,SWIFT
GH-HT51S,SWIFT
DAA-MH55S-WSTB-AJ,WAGON R FX
SWIFT RS,SWIFT
EVERY JOIN,EVERY
SPACIA XS TURBO CUSTOM,SPACIA
DBA-HA35S ALTO,ALTO
WAGON R HYBRID FZ SAFETY,WAGON R FZ SAFETY
CELERIOX ZXI(O) AGS,CELERIO
DAA-ZC 53S SWIFT,SWIFT
DAA-MK42S(SPACIA XS TURBO HYBRID),SPACIA
CELERIO X ZXI (O) AGS,CELERIO
DAA-MK42S SPACIA HYBRID,SPACIA
HBD-DA17V EVERY VAN,EVERY
WAGONR STINGRAY HYBRID,WAGON R
DAA-MH55S HYBRID,WAGON R
DAA-MH44S WAGON R STINGRAY,WAGON R STINGRAY
ABA-DA17W WAGON,WAGON R
SS40,WAGON R
DBA-HA25S ALTO,ALTO
STINGRAY TURBO,WAGON R
WAGON R STINGRAY T / DAA-MH55S,WAGON R STINGRAY
DAA-MH55S WAGON R HYBRID FX NON SAFETY,WAGON R FX
DAA-ZC43S SWIFT,SWIFT
WIDE,WIDE
GBD-HA24V ALTO,ALTO
WAGON R FX NON SAFETY,WAGON R FX
DBA-ZC11S SWIFT,SWIFT
WAGON R STINGRAY X (DAA-MH55S),WAGON R STINGRAY
SWIFT RS TURBO,SWIFT
ACTO,ALTO
DAA-MH44 S WAGONR C,WAGON R
HBD-DA64V EVERY JOIN,EVERY
DAA-MK53S SPACIA HYBRID,SPACIA
DBA-MH55S,WAGON R
HBD-DA17V EVERY JOIN VAN,EVERY
WAGON R FZ SAFETY DAA-MH55S,WAGON R FZ SAFETY
DBA-ZC72S SWIFT,SWIFT
VITARA SZ-T,VITARA
ABD-DA17W,EVERY
GD-DA52V,EVERY
STINGRAY HYBRID,WAGON R
DAA-ZC43S,SWIFT
WAGON R X (DAA-MH55S),WAGON R
DAA-MK42S SPACIA CUSTOM Z HYBRID,SPACIA
DAA-MH55S WAGON R HYBRID (STINGRAY),WAGON R
JIMNY JEEP,JIMNY
DBA-ZC53S,SWIFT
ABA-DA17W EVERY WAGO,EVERY
EVERY CARGO,EVERY
SJ41-DN,JIMNY
BALINO,BALENO
GRAND VITARA 2.0VVT,GRAND VITARA
SWIFT-GLX,SWIFT
DBA-HA36S ALTO WORKS,ALTO
CULTUS AB44S,CULTUS
DBSA-HA36S,ALTO
DBA-MH35S WAGONR,WAGON R
HBD-DR17V EVERY,EVERY
LIANA 1.3M4,LIANA
DBH-HA36S ALTO,ALTO
DAA-MH55S WAGON R,WAGON R
EBD-A464V EVERY,EVERY
EVERY ABA-DA64W,EVERY
CD-DA52V,EVERY
BALENO 1.0 LTR GLX 6,BALENO
DAA-MH5S WAGON R,WAGON R
EBD-DA64V CLIPPER,EVERY
DBA-ZC13S SWIFT RST,SWIFT
LIYANA SEDAN,LIANA
DAA-MK42S SPACIA,SPACIA
CULTUS (GF GC21S),CULTUS
GD-DB52V,EVERY
BALENO ZETA,BALENO
CBA-MH21S,WAGON R
HBD-DA17,EVERY
SWIFT 1.5 OL,SWIFT
DBA-HA36S ALTO,ALTO
LIANA 1.3 M,LIANA
CBA-HA245,ALTO
GD-DB52V EVERY,EVERY
GD-DA52V,EVERY
DBI-HA24S,ALTO
DBA-HE33S,ALTO
WAGON R FX MH55S,WAGON R FX
LA-MA34S SOLIO,WAGON R
DBA-HA36S-RS TURBO,ALTO
STINGRAY VXI0,MARUTI
LA-HT51S SWIFT,SWIFT
SWIFT Z XI,SWIFT
SWIFT UA-HT51S,SWIFT
BALENO GL,BALENO
ABA-DA64V EVERY,EVERY
SWIFT- GLX,SWIFT
DAA-MK53S SPACIA,SPACIA
SWIFT ZC71S,SWIFT
EVERY DA64V,EVERY
EVERY DA17V,EVERY
FBD.DA64V EVERY,EVERY
DAA-MH44 WAGON R,WAGON R
EBD-DA64V,EVERY
ABA-DA17W EVERY WAGON,EVERY
CBA-WB42S BALENO,BALENO
EVERY TRUCK,EVERY
CBA-ZC31S SWIFT,SWIFT
BALENO ZETA,BALENO
HBD-DA17V EVERY (WAGON),EVERY
VITARA XZ-T,VITARA
DAA-MH555 WAGON R ST,WAGON R
DAA-MH44S WAGON R,WAGON R
UA-HA23S,ALTO
DAA-ZC53S SWIFT,SWIFT
DAA-MK 53 S,SPACIA
HBD-HA25V ALTO,ALTO
HBD-D17V EVERY,EVERY
DAA-MH44S STINGRAY,WAGON R
DAA-HA36S,ALTO
DAA MH44A WAGON R,WAGON R
DAA MKI42S SPACIA,SPACIA
WAGON R DAA-MH44S,WAGON R
DAA-H55S WAGON R,WAGON R
HDB-DA17V-EVERY,EVERY
LA-HA23S ALTO,ALTO
UA-HT515,SWIFT
GBD-DA64V EVERY,EVERY
EVERYVAN,EVERY
EVERY ( V-DF51V),EVERY
DAA-MH448 WAGON R,WAGON R
GBD HA24V ALTO,ALTO
DBA-HA365S ALTO,ALTO
DBA-ZC21S SWIFT,SWIFT
CBA ZC31S SWIFTSPORT,SWIFT
GF-MA63S,WAGON R
SWIFT,SWIFT
V-DF51V,EVERY
STINGRAY VXI 0,WAGON R
ZEN ESTILO VXI,ESTILO
WAGON R FZ MH44S,WAGON R FZ
SWIFT ZC21S,SWIFT
SPRESSO VXI,MARUTI
EVERY DA62V,EVERY
SPACIA  MK42S,SPACIA
EVERY DA52V,EVERY
WAGON R FZ DAAMH55S,WAGON R FZ
WAGON R MC21S,WAGON R
EVERY DA17W,EVERY
BALENO K10C GLX,BALENO
ALTO HA24S,ALTO
EBD-DA64V EVERY,EVERY
EVERY PA 660 AUTO,EVERY
EVERY DE51V,EVERY
WAGON R INDIAN,WAGON R
SWIFT ESTEEM,SWIFT
LF-DA62V,EVERY
SWIFT ZC11S,SWIFT
ALTO LXI,ALTO LXI
EVERY DA52W,EVERY
SWIFT VXI,SWIFT
DAA-ZC53S SWIFT HYBRID,SWIFT
VITARA SZ-T BOOSTER JET AUTO,VITARA
LIANA,LIANA
ALTO SB308GA,ALTO
ERTIGA ZXI,MARUTI
MARUTI ERTIGA LXI,MARUTI
