vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
3750000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
2675000,NISSAN,AD WAGON,2002,AUTOMATIC,1290,PETROL
2575000,NISSAN,CEFIRO,1998,AUTOMATIC,2000,PETROL
3650000,NISSAN,CEFIRO,2001,AUTOMATIC,2000,PETROL
1750000,NISSAN,VANETTE,1988,MANUAL,2000,DIESEL
925000,NISSAN,SUNNY,1985,AUTOMATIC,1500,PETROL
2550000,NISSAN,VANETTE,1994,AUTOMATIC,1500,DIESEL
2350000,NISSAN,SUNNY,1995,MANUAL,1500,PETROL
3500000,NISSAN,SUNNY,1998,AUTOMATIC,2490,PETROL
820000,NISSAN,SUNNY,1986,MANUAL,1480,PETROL
4450000,NISSAN,VANETTE,2002,MANUAL,2180,PETROL
5700000,NISSAN,NAVARA,2008,MANUAL,2500,DIESEL
2765000,NISSAN,MARCH,2000,AUTOMATIC,1000,PETROL
3550000,NISSAN,CEFIRO,2003,MANUAL,1200,DIESEL
4190000,NISSAN,SUNNY,2003,AUTOMATIC,1500,PETROL
4675000,NISSAN,VANETTE,2002,AUTOMATIC,900,DIESEL
645000,NISSAN,SUNNY,1982,MANUAL,1500,PETROL
7190000,NISSAN,CARAVAN,2012,MANUAL,1990,PETROL
2695000,NISSAN,PULSAR,1995,MANUAL,1000,PETROL
4950000,NISSAN,DAYZ,2015,AUTOMATIC,650,PETROL
6800000,NISSAN,CARAVAN,1999,MANUAL,3150,DIESEL
3500000,NISSAN,CARAVAN,1992,MANUAL,2600,DIESEL
4490000,NISSAN,CLIPPER,2017,AUTOMATIC,650,PETROL
2950000,NISSAN,BLUEBIRD,1999,AUTOMATIC,1500,PETROL
450000,NISSAN,SUNNY,1988,MANUAL,1400,PETROL
495000,NISSAN,SUNNY,1983,MANUAL,1500,PETROL
5150000,NISSAN,CARAVAN,1999,MANUAL,900,DIESEL
4850000,NISSAN,CLIPPER,2016,AUTOMATIC,1000,PETROL
2235000,NISSAN,SUNNY,1996,AUTOMATIC,1500,DIESEL
4700000,NISSAN,TIIDA,2008,AUTOMATIC,1500,PETROL
5495000,NISSAN,DAYZ,2017,AUTOMATIC,650,PETROL
2150000,NISSAN,SUNNY,1996,AUTOMATIC,1500,DIESEL
440000,NISSAN,SUNNY,1979,MANUAL,1400,PETROL
7450000,NISSAN,NV100,2015,AUTOMATIC,650,PETROL
1175000,NISSAN,BLUEBIRD,1990,MANUAL,1800,PETROL
1995000,NISSAN,SUNNY,1997,AUTOMATIC,1970,DIESEL
2150000,NISSAN,MARCH,1996,AUTOMATIC,1000,PETROL
1800000,NISSAN,PULSAR,1990,MANUAL,2800,DIESEL
5000000,NISSAN,CARAVAN,1990,MANUAL,3000,DIESEL
3850000,NISSAN,MARCH,2007,AUTOMATIC,1290,PETROL
1950000,NISSAN,CARAVAN,1984,MANUAL,1500,DIESEL
5875000,NISSAN,SUNNY,2011,AUTOMATIC,1300,PETROL
5800000,NISSAN,CARAVAN,1997,AUTOMATIC,1980,DIESEL
4385000,NISSAN,X-TRAIL,2002,MANUAL,1990,PETROL
5840000,NISSAN,DAYZ,2017,AUTOMATIC,650,PETROL
3400000,NISSAN,TIIDA,2006,AUTOMATIC,1500,PETROL
1325000,NISSAN,MARCH,1989,MANUAL,988,PETROL
3185000,NISSAN,SUNNY,2000,AUTOMATIC,1000,PETROL
1350000,NISSAN,MARCH,1992,MANUAL,988,PETROL
6300000,NISSAN,NAVARA,2007,AUTOMATIC,2780,DIESEL
1075000,NISSAN,SUNNY,1987,MANUAL,1480,PETROL
7500000,NISSAN,CARAVAN,2007,AUTOMATIC,2950,DIESEL
3465000,NISSAN,SUNNY,1995,MANUAL,1497,DIESEL
5800000,NISSAN,CLIPPER,2018,TIPTRONIC,650,PETROL
6450000,NISSAN,CARAVAN,2002,AUTOMATIC,3000,DIESEL
6850000,NISSAN,CARAVAN,1998,MANUAL,1000,PETROL
2800000,NISSAN,SUNNY,1998,MANUAL,1310,PETROL
3450000,NISSAN,SUNNY,2002,AUTOMATIC,1295,PETROL
5700000,NISSAN,CARAVAN,1996,MANUAL,2700,DIESEL
2300000,NISSAN,SUNNY,1996,MANUAL,1500,PETROL
2050000,NISSAN,SUNNY,1992,MANUAL,1700,DIESEL
2150000,NISSAN,SUNNY,1996,MANUAL,1400,PETROL
1050000,NISSAN,SUNNY,1987,MANUAL,1500,PETROL
2650000,NISSAN,SUNNY,1993,MANUAL,1500,PETROL
2130000,NISSAN,SUNNY,1999,MANUAL,1500,PETROL
3100000,NISSAN,MARCH,2003,AUTOMATIC,1300,PETROL
1350000,NISSAN,SUNNY,1988,MANUAL,1500,PETROL
5750000,NISSAN,LEAF,2018,AUTOMATIC,700,ELECTRIC
12000000,NISSAN,X-TRAIL,2010,TIPTRONIC,2000,DIESEL
2575000,NISSAN,SUNNY,1997,AUTOMATIC,1500,PETROL
1850000,NISSAN,VANETTE,1992,MANUAL,1900,DIESEL
5000000,NISSAN,CARAVAN,1993,MANUAL,2600,DIESEL
1185000,NISSAN,SUNNY,1989,MANUAL,800,PETROL
5350000,NISSAN,CARAVAN,1998,MANUAL,900,DIESEL
2000000,NISSAN,SUNNY,1990,MANUAL,1500,PETROL
4900000,NISSAN,CARAVAN,1995,MANUAL,2700,DIESEL
1600000,NISSAN,SUNNY,1992,MANUAL,1500,PETROL
3650000,NISSAN,SUNNY,2001,MANUAL,1500,PETROL
3875000,NISSAN,CARAVAN,1999,MANUAL,2700,DIESEL
2200000,NISSAN,SUNNY,1996,MANUAL,1800,PETROL
3350000,NISSAN,SUNNY,2003,MANUAL,1800,PETROL
3975000,NISSAN,VANETTE,1999,MANUAL,2000,DIESEL
2050000,NISSAN,VANETTE,1987,MANUAL,900,PETROL
1950000,NISSAN,SUNNY,1995,MANUAL,1500,PETROL
3500000,NISSAN,CARAVAN,1994,AUTOMATIC,3200,DIESEL
3850000,NISSAN,MARCH,2007,AUTOMATIC,1300,PETROL
6200000,NISSAN,DAYZ,2017,AUTOMATIC,650,PETROL
2000000,NISSAN,SUNNY,1991,AUTOMATIC,1290,PETROL
1375000,NISSAN,CARAVAN,1985,MANUAL,1800,DIESEL
1750000,NISSAN,CARAVAN,1986,MANUAL,2600,DIESEL
420000,NISSAN,SUNNY,1982,MANUAL,1200,PETROL
4390000,NISSAN,TIIDA,2007,AUTOMATIC,1500,PETROL
5450000,NISSAN,CARAVAN,1997,AUTOMATIC,3150,DIESEL
1980000,NISSAN,AD WAGON,1997,MANUAL,1300,PETROL
1375000,NISSAN,SUNNY,1988,MANUAL,1500,PETROL
2480000,NISSAN,SUNNY,1997,MANUAL,1500,PETROL
12500000,NISSAN,CARAVAN,2012,AUTOMATIC,2420,DIESEL
3975000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
1490000,NISSAN,VANETTE,1988,MANUAL,1980,DIESEL
4700000,NISSAN,CARAVAN,1999,MANUAL,1500,DIESEL
1900000,NISSAN,MARCH,1996,MANUAL,990,PETROL
5025000,NISSAN,NV100,2016,TIPTRONIC,650,PETROL
4650000,NISSAN,CARAVAN,1997,MANUAL,3150,DIESEL
2500000,NISSAN,MARCH,2001,MANUAL,990,PETROL
3550000,NISSAN,SUNNY,2004,AUTOMATIC,900,PETROL
4000000,NISSAN,VANETTE,2003,MANUAL,2000,DIESEL
2550000,NISSAN,SUNNY,1997,AUTOMATIC,1500,PETROL
3375000,NISSAN,SUNNY,2000,AUTOMATIC,1500,PETROL
3200000,NISSAN,SUNNY,2000,AUTOMATIC,1490,PETROL
3490000,NISSAN,SUNNY,2000,AUTOMATIC,1500,PETROL
6850000,NISSAN,NAVARA,2008,MANUAL,2700,DIESEL
3600000,NISSAN,SUNNY,2000,MANUAL,1500,PETROL
5650000,NISSAN,NAVARA,2010,AUTOMATIC,2500,DIESEL
5975000,NISSAN,DAYZ,2017,AUTOMATIC,660,PETROL
5000000,NISSAN,CARAVAN,1994,MANUAL,2680,DIESEL
3175000,NISSAN,VANETTE,2000,MANUAL,2200,DIESEL
3900000,NISSAN,MARCH,2003,MANUAL,1300,PETROL
5500000,NISSAN,VANETTE,2006,MANUAL,2000,PETROL
2800000,NISSAN,VANETTE,1991,MANUAL,1400,PETROL
5100000,NISSAN,VANETTE,2006,MANUAL,1990,DIESEL
2295000,NISSAN,SUNNY,1997,MANUAL,1500,PETROL
3800000,NISSAN,SUNNY,2001,AUTOMATIC,1500,PETROL
1675000,NISSAN,SUNNY,1990,MANUAL,1300,PETROL
2495000,NISSAN,PULSAR,1997,MANUAL,2000,DIESEL
2090000,NISSAN,MARCH,1994,AUTOMATIC,1000,PETROL
6500000,NISSAN,LEAF,2013,AUTOMATIC,80,ELECTRIC
1675000,NISSAN,SUNNY,1994,MANUAL,1500,PETROL
5200000,NISSAN,NAVARA,2007,MANUAL,2500,DIESEL
6690000,NISSAN,DAYZ,2017,AUTOMATIC,660,PETROL
2559999,NISSAN,PULSAR,1999,MANUAL,2000,PETROL
4800000,NISSAN,TIIDA,2008,AUTOMATIC,1500,PETROL
1550000,NISSAN,VANETTE,1987,MANUAL,1990,DIESEL
2150000,NISSAN,SERENA,1990,MANUAL,1690,DIESEL
2500000,NISSAN,VANETTE,1994,MANUAL,1500,DIESEL
