model,map_model_name
HILUX HL 3D-4D,HILUX
E-AT170 CARINA,CARINA
DBA-KGC30-PASSO,PASSO
LH113R-RRMRS,LH113
HARRIER,HARRIER
HIACE - TRH200,HIACE
SPRINTER - AE110,SPRINTER
E-EL41 COROLLA,COROLLA
HIACE PANEL VAN,HIACE
DAA-NHP10-AQUA,AQUA
HILUX HL2-4D 4X4 D/C,HILUX
S-CR27V,CR27
HILUX HL2 D-4DD/C,HILUX
HIACE(CREW CAB),HIACE
FORTUNER KUNSIR,FORTUNER
GK-KR52V LITEACE,LITEACE
COROLLA KE 74V,COROLLA
HIACE -U-LH103V,HIACE
U-LH113V,LH113
HIACE GL,HIACE
CBF-TRH221K-HIACE,HIACE
VOXY,VOXY
PRIUS C,PRIUS
VOXY HYBRID-DAA-ZWR80G,VOXY
HIACE KC-LH109V,HIACE
DBA-NZT260 ALLION,ALLION
DAA-ZVW30-PRIUS HYBRID,PRIUS
PREMIO X DBA-ZZT240,PREMIO
SOLUNA XLI,SOLUNA
TERCEL,TERCEL
SPRINTER SE-VINTAGE E-AE110,SPRINTER
TOWNACE KR42V,TOWNACE
KB-CR27V,CR27
PREMIO G SUPERIOR 1.5,PREMIO
KF-CM80 LITEACE,LITEACE
TERCEL-EL50R,TERCEL
VISTA,IST
HILUX DOUBLE CAB,HILUX
E AT170-CORONA,CORONA
CBA-J200E RUSH,RUSH
E-EE90 COROLLA,COROLLA
FORTUNER - KUN51R-EKPSY,FORTUNER
VOXY-DBA-ZRR70G,VOXY
CR27DX,CR27
HILUX VIGO 2.5,HILUX
DBA-ACA36W RAV4,RAV4
DBA-KSP92 BELTA,BELTA
DBA-NZT260-PREMIO,PREMIO
ALLION UA-NZT240,ALLION
AVANZA,AVANZA
LITEACE,LITEACE
COROLLA X AXIO,AXIO
COROLLA XL I,COROLLA
HILUX,HILUX
VIOS,VIOS
ALLION,ALLION
TOWNACE,TOWNACE
HIACE Y-KZH110,HIACE
COROLLA UA-NZE121,COROLLA
RUSH,RUSH
PASSO,PASSO
IST DBA-NCP60,IST
HILUX VIGO G CHAMP,HILUX
COROLLA,COROLLA
ADF-KDH 201V HIACE,HIACE
HILUX VIGO G,HILUX
HIACE LH 182,HIACE
HIACE LH 123,HIACE
HIACE LH 73,HIACE
HILUX SSR X,HILUX
COROLLA AE 121,COROLLA
AXIO,AXIO
HIACE,HIACE
COROLLA X TA-NZE120,COROLLA
BELTA DBA-SCP92,BELTA
YARIS,YARIS
AXIO X DBA-NZE141,AXIO
HILUX LN 107,HILUX
HILUX LN 106,HILUX
BELTA,BELTA
CORONA AE180,CORONA
CORONA AE192,CORONA
HILUX LN 141,HILUX
HIACE LH172,HIACE
HIACE LH113,LH113
HIACE LH61,HIACE
STARLET EP82,STARLET
STARLET EP91,STARLET
CORONA AE212,CORONA
HIACE SUPER GL,HIACE
AXIO HYBRID,AXIO
CORSA-EL41,CORSA
TA.SCP10 VITZ,VITZ
LH102 HIACE,HIACE
IST,IST
HILUX D-4D,HILUX
VIOS 1.5 E M,VIOS
PRIUS T SPIRIT VV-I,PRIUS
COROLLA KE 72,COROLLA
VITZ DBA-KSP130,VITZ
AQUA- HYBRID,AQUA
S-LH113,LH113
COROLLA 1.5A,COROLLA
SOLUNA,SOLUNA
CAMRY,CAMRY
FORTUNER,FORTUNER
DBA-KGC10 PASSO,PASSO
COROLLA (X),COROLLA
PREMIO,PREMIO
HIACE-KC-LH113V,LH113
STARLET,STARLET
LH113,LH113
AQUA,AQUA
PREMIO F DBA-NZT260,PREMIO
CR27V,CR27
AQUA S DAA-NHP10,AQUA
MARK11,MARK
DBA-NZE121 COROLLA,COROLLA
DBA-NZE151H AURIS,AURIS
CORONA,CORONA
CAMI,CAMI
SPRINTER,SPRINTER
AE100-SPRINTER,SPRINTER
HILUX VIGO,HILUX
PIXIS,PIXIS
LH129 HIACE,HIACE
COROLLA 1.5M,COROLLA
DAA-NKE165 AXIO WX,AXIO
KE74 COROLLA,COROLLA
LAND CRUISER JEEP,LAND CRUISER
CBA-J210E RUSH,RUSH
L-KE72V COROLLA,COROLLA
DBA-ACA31W RAV4,RAV4
LH222R-LEMDE HIACE,HIACE
QDF-KDH201V HIACE,HIACE
L-KE74V-COROLLA,COROLLA
HILUX VIGO 2.5 E,HILUX
HILUX VIGO E D4-D,HILUX
DBA-ZSU60W HARRIER,HARRIER
SOLUNA GLIA,SOLUNA
PIXIS EPOCH,PIXIS
DAA-AVU65W HARRIER,HARRIER
SCR27V,CR27
