vehicle_price,make,model,year,transmision,engine_capacity,fuel_type
900000,TOYOTA,LITEACE,1984,MANUAL,1300,DIESEL
8900000,TOYOTA,PRIUS,2012,AUTOMATIC,1800,PETROL
12300000,TOYOTA,HIACE,2007,AUTOMATIC,2500,DIESEL
7950000,TOYOTA,ALLION,2007,AUTOMATIC,1500,PETROL
5475000,TOYOTA,HIACE,1995,MANUAL,2770,DIESEL
3350000,TOYOTA,COROLLA,1997,AUTOMATIC,1500,PETROL
9675000,TOYOTA,VITZ,2019,AUTOMATIC,990,PETROL
7800000,TOYOTA,NOAH,2005,MANUAL,1990,PETROL
4150000,TOYOTA,VIOS,2003,MANUAL,1500,PETROL
16300000,TOYOTA,CHR,2018,AUTOMATIC,1200,HYBRID
14200000,TOYOTA,PREMIO,2015,AUTOMATIC,1500,PETROL
12400000,TOYOTA,ALLION,2013,AUTOMATIC,1500,PETROL
6650000,TOYOTA,AXIO,2007,AUTOMATIC,1500,PETROL
7975000,TOYOTA,PRIUS,2010,AUTOMATIC,1500,PETROL
4600000,TOYOTA,HIACE,1991,MANUAL,2770,PETROL
7375000,TOYOTA,AQUA,2014,AUTOMATIC,1500,PETROL
6000000,TOYOTA,HILUX,1998,MANUAL,3000,DIESEL
2500000,TOYOTA,HIACE,1989,MANUAL,2650,DIESEL
2600000,TOYOTA,CARINA,1995,AUTOMATIC,1500,PETROL
2800000,TOYOTA,TOWNACE,1992,MANUAL,1970,DIESEL
6600000,TOYOTA,AQUA,2012,AUTOMATIC,1500,PETROL
4600000,TOYOTA,NOAH,1988,AUTOMATIC,1980,DIESEL
3475000,TOYOTA,SPRINTER,2006,AUTOMATIC,1600,PETROL
5990000,TOYOTA,NOAH,2000,MANUAL,2180,PETROL
2895000,TOYOTA,COROLLA,1997,AUTOMATIC,1500,PETROL
3400000,TOYOTA,STARLET,1998,AUTOMATIC,1330,PETROL
5495000,TOYOTA,VIOS,2007,AUTOMATIC,1500,PETROL
8095000,TOYOTA,AXIO,2012,AUTOMATIC,1490,PETROL
4625000,TOYOTA,NOAH,1998,MANUAL,2500,DIESEL
8575000,TOYOTA,VITZ,2017,AUTOMATIC,1000,PETROL
6690000,TOYOTA,PASSO,2016,AUTOMATIC,990,PETROL
2450000,TOYOTA,HIACE,1988,MANUAL,2440,DIESEL
3285000,TOYOTA,HILUX,1996,MANUAL,1500,DIESEL
18450000,TOYOTA,PREMIO,2019,AUTOMATIC,1490,PETROL
1500000,TOYOTA,COROLLA,1987,MANUAL,1300,PETROL
17000000,TOYOTA,HILUX,2007,AUTOMATIC,3000,DIESEL
2650000,TOYOTA,TOWNACE,1989,MANUAL,2000,DIESEL
8400000,TOYOTA,VITZ,2017,AUTOMATIC,1000,PETROL
5380000,TOYOTA,VITZ,2008,AUTOMATIC,1000,PETROL
7220000,TOYOTA,AQUA,2013,AUTOMATIC,1500,PETROL
7095000,TOYOTA,AQUA,2014,AUTOMATIC,1490,PETROL
1250000,TOYOTA,CARINA,1989,MANUAL,1500,PETROL
8700000,TOYOTA,ALLION,2007,AUTOMATIC,1490,PETROL
7800000,TOYOTA,AQUA,2014,AUTOMATIC,1500,HYBRID
17000000,TOYOTA,PREMIO,2017,AUTOMATIC,1300,PETROL
7475000,TOYOTA,VITZ,2016,AUTOMATIC,1000,PETROL
7890000,TOYOTA,VITZ,2016,AUTOMATIC,1000,PETROL
8500000,TOYOTA,CAMRY,2010,AUTOMATIC,2300,PETROL
875000,TOYOTA,COROLLA,1986,MANUAL,1000,PETROL
600000,TOYOTA,COROLLA,1984,MANUAL,1400,PETROL
16900000,TOYOTA,HIACE,2015,AUTOMATIC,2000,DIESEL
20500000,TOYOTA,HIACE,2016,MANUAL,2000,DIESEL
17500000,TOYOTA,HIACE,2015,AUTOMATIC,2000,DIESEL
6450000,TOYOTA,BELTA,2010,AUTOMATIC,1000,PETROL
5300000,TOYOTA,HIACE,1992,MANUAL,2800,PETROL
17900000,TOYOTA,HIACE,2014,AUTOMATIC,3000,DIESEL
6580000,TOYOTA,IST,2007,AUTOMATIC,1500,PETROL
5465000,TOYOTA,VITZ,2009,AUTOMATIC,1000,PETROL
11500000,TOYOTA,HIACE,2007,MANUAL,2800,DIESEL
13000000,TOYOTA,HILUX,2011,MANUAL,2500,DIESEL
6455000,TOYOTA,ALLION,2003,AUTOMATIC,1500,PETROL
7800000,TOYOTA,AQUA,2014,AUTOMATIC,1500,PETROL
7150000,TOYOTA,VITZ,2016,AUTOMATIC,990,PETROL
1375000,TOYOTA,COROLLA,1987,MANUAL,1480,PETROL
6990000,TOYOTA,ALLION,2005,AUTOMATIC,1500,PETROL
26100000,TOYOTA,HILUX,2018,AUTOMATIC,2800,DIESEL
120000000,TOYOTA,LAND CRUISER,2016,AUTOMATIC,4600,DIESEL
6825000,TOYOTA,AXIO,2007,AUTOMATIC,1500,PETROL
6000000,TOYOTA,HIACE,1995,MANUAL,2770,DIESEL
6630000,TOYOTA,VITZ,2012,AUTOMATIC,1320,PETROL
18000000,TOYOTA,NOAH,2014,AUTOMATIC,1800,PETROL
725000,TOYOTA,CARINA,1987,MANUAL,1500,PETROL
5695000,TOYOTA,PRIUS,2008,AUTOMATIC,1500,PETROL
14000000,TOYOTA,HIACE,2011,AUTOMATIC,2980,DIESEL
5650000,TOYOTA,BELTA,2007,AUTOMATIC,1000,PETROL
9800000,TOYOTA,AXIO,2014,AUTOMATIC,1500,HYBRID
6500000,TOYOTA,HILUX,2008,MANUAL,3000,DIESEL
15500000,TOYOTA,CHR,2018,AUTOMATIC,1200,PETROL
5300000,TOYOTA,COROLLA,2003,AUTOMATIC,1500,PETROL
12775000,TOYOTA,HIACE,2011,AUTOMATIC,750,DIESEL
9100000,TOYOTA,AXIO,2014,AUTOMATIC,1500,HYBRID
6550000,TOYOTA,ALLION,2003,AUTOMATIC,1500,PETROL
1800000,TOYOTA,COROLLA,1993,MANUAL,1800,PETROL
11200000,TOYOTA,PREMIO,2011,AUTOMATIC,1500,PETROL
5690000,TOYOTA,VITZ,2010,AUTOMATIC,1300,PETROL
3200000,TOYOTA,CR27,1992,MANUAL,1500,DIESEL
7300000,TOYOTA,VITZ,2015,AUTOMATIC,1000,PETROL
8450000,TOYOTA,VITZ,2017,AUTOMATIC,1000,PETROL
6280000,TOYOTA,ALLION,2002,AUTOMATIC,1800,PETROL
7000000,TOYOTA,AXIO,2008,AUTOMATIC,1500,PETROL
4825000,TOYOTA,COROLLA,2001,AUTOMATIC,1500,PETROL
2200000,TOYOTA,SOLUNA,2000,MANUAL,1500,PETROL
6840000,TOYOTA,AXIO,2007,AUTOMATIC,1800,PETROL
7500000,TOYOTA,AXIO,2007,AUTOMATIC,1490,PETROL
4125000,TOYOTA,CR27,1996,MANUAL,2000,DIESEL
650000,TOYOTA,COROLLA,1986,MANUAL,1300,PETROL
7275000,TOYOTA,VITZ,2015,AUTOMATIC,990,PETROL
16200000,TOYOTA,HIACE,2013,AUTOMATIC,3000,DIESEL
5850000,TOYOTA,VITZ,2010,AUTOMATIC,1000,PETROL
5600000,TOYOTA,VITZ,2008,MANUAL,1000,PETROL
4560000,TOYOTA,IST,2003,AUTOMATIC,1300,PETROL
21500000,TOYOTA,HILUX,2016,TIPTRONIC,3000,PETROL
1400000,TOYOTA,CORONA,1991,MANUAL,1500,PETROL
7100000,TOYOTA,AQUA,2012,AUTOMATIC,1490,HYBRID
8400000,TOYOTA,AXIO,2014,AUTOMATIC,1500,HYBRID
